CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,MOMENT_DATA
2,152,265,"[2, 1445993090627, 519.3, 14.97, None, [[-1, -1, 60.06347, 38.19109, 5.95805], [1610612737, 2594, 60.07491, 42.63017, 0.0], [1610612737, 201143, 79.59, 36.90936, 0.0], [1610612737, 201952, 72.50204, 9.17065, 0.0], [1610612737, 203145, 86.1938, 28.91053, 0.0], [1610612737, 203488, 76.33386, 17.19441, 0.0], [1610612765, 2581, 76.84169, 18.819490000000002, 0.0], [1610612765, 101141, 78.81666, 18.45175, 0.0], [1610612765, 203382, 78.32707, 35.19046, 0.0], [1610612765, 201975, 63.46319, 40.69103, 0.0], [1610612765, 1626169, 83.91789, 26.73837, 0.0]]]"
2,152,326,"[2, 1445993093067, 516.88, 12.69, None, [[-1, -1, 69.09716, 7.51403, 2.67306], [1610612737, 2594, 71.99153, 46.15649, 0.0], [1610612737, 201143, 70.10115, 31.24322, 0.0], [1610612737, 201952, 68.95037, 9.32429, 0.0], [1610612737, 203145, 79.66974, 41.80632, 0.0], [1610612737, 203488, 68.78568, 13.21777, 0.0], [1610612765, 2581, 67.16177, 11.71494, 0.0], [1610612765, 101141, 75.89684, 12.68557, 0.0], [1610612765, 203382, 77.86113, 28.45698, 0.0], [1610612765, 201975, 74.58984, 40.40498, 0.0], [1610612765, 1626169, 83.98546, 37.13032, 0.0]]]"
2,152,329,"[2, 1445993093186, 516.76, 12.58, None, [[-1, -1, 70.47206, 7.63134, 2.91794], [1610612737, 2594, 72.7611, 46.34017, 0.0], [1610612737, 201143, 69.29261, 31.16935, 0.0], [1610612737, 201952, 69.86734, 9.1587, 0.0], [1610612737, 203145, 79.01378, 41.628659999999996, 0.0], [1610612737, 203488, 69.08725, 13.52361, 0.0], [1610612765, 2581, 67.71825, 11.06275, 0.0], [1610612765, 101141, 76.26231, 12.67018, 0.0], [1610612765, 203382, 77.95943, 28.07762, 0.0], [1610612765, 201975, 75.21684, 40.57455, 0.0], [1610612765, 1626169, 83.58911, 37.00004, 0.0]]]"
2,152,349,"[2, 1445993093986, 515.97, 11.84, None, [[-1, -1, 68.04613, 28.1276, 5.95123], [1610612737, 2594, 78.82747, 47.31205, 0.0], [1610612737, 201143, 65.34153, 30.83339, 0.0], [1610612737, 201952, 75.71749, 9.92447, 0.0], [1610612737, 203145, 77.82223, 41.64972, 0.0], [1610612737, 203488, 75.31578, 18.405920000000002, 0.0], [1610612765, 2581, 74.38951, 11.39611, 0.0], [1610612765, 101141, 80.05402, 15.72995, 0.0], [1610612765, 203382, 77.44981, 26.32796, 0.0], [1610612765, 201975, 77.32641, 42.20486, 0.0], [1610612765, 1626169, 81.51741, 35.87739, 0.0]]]"
2,152,398,"[2, 1445993095946, 514.02, 10.0, None, [[-1, -1, 75.30001, 34.78596, 8.1176], [1610612737, 2594, 88.23292000000001, 46.77363, 0.0], [1610612737, 201143, 75.25991, 34.88703, 0.0], [1610612737, 201952, 76.96227, 7.86614, 0.0], [1610612737, 203145, 74.17345, 45.19899, 0.0], [1610612737, 203488, 85.90442, 20.67999, 0.0], [1610612765, 2581, 83.26673, 18.31886, 0.0], [1610612765, 101141, 85.26775, 25.50729, 0.0], [1610612765, 203382, 76.75962, 33.54888, 0.0], [1610612765, 201975, 86.89, 44.79978, 0.0], [1610612765, 1626169, 75.1143, 37.43158, 0.0]]]"
2,152,402,"[2, 1445993096107, 513.86, 9.85, None, [[-1, -1, 75.96586, 36.67527, 8.53641], [1610612737, 2594, 88.19311, 46.78509, 0.0], [1610612737, 201143, 76.31972, 35.10006, 0.0], [1610612737, 201952, 76.76339, 7.63011, 0.0], [1610612737, 203145, 74.35855, 45.5446, 0.0], [1610612737, 203488, 85.5103, 20.39641, 0.0], [1610612765, 2581, 83.36553, 18.64741, 0.0], [1610612765, 101141, 85.65948, 25.10329, 0.0], [1610612765, 203382, 78.06566, 33.65247, 0.0], [1610612765, 201975, 87.09391, 44.84568, 0.0], [1610612765, 1626169, 74.46213, 37.80497, 0.0]]]"
2,152,408,"[2, 1445993096346, 513.63, 9.63, None, [[-1, -1, 76.69067, 42.17288, 7.28967], [1610612737, 2594, 88.26213, 46.7245, 0.0], [1610612737, 201143, 77.9984, 35.42972, 0.0], [1610612737, 201952, 76.38792, 7.31794, 0.0], [1610612737, 203145, 74.79809, 45.977850000000004, 0.0], [1610612737, 203488, 85.576, 19.94116, 0.0], [1610612765, 2581, 83.25874, 18.77879, 0.0], [1610612765, 101141, 86.01541, 24.38747, 0.0], [1610612765, 203382, 79.84978, 33.83224, 0.0], [1610612765, 201975, 87.28555, 44.95881, 0.0], [1610612765, 1626169, 74.08457, 38.67801, 0.0]]]"
2,152,443,"[2, 1445993097746, 512.24, 8.32, None, [[-1, -1, 73.27994, 34.13292, 2.33495], [1610612737, 2594, 92.66009, 36.99309, 0.0], [1610612737, 201143, 83.91925, 37.48822, 0.0], [1610612737, 201952, 73.0093, 7.63202, 0.0], [1610612737, 203145, 74.18417, 35.75934, 0.0], [1610612737, 203488, 89.80499, 10.8622, 0.0], [1610612765, 2581, 81.38453, 18.28273, 0.0], [1610612765, 101141, 86.88978, 20.35056, 0.0], [1610612765, 203382, 83.39852, 32.11268, 0.0], [1610612765, 201975, 88.76713, 36.15646, 0.0], [1610612765, 1626169, 76.38907, 38.78618, 0.0]]]"
2,152,459,"[2, 1445993098387, 511.6, 7.72, None, [[-1, -1, 81.52814, 26.362940000000002, 4.75964], [1610612737, 2594, 92.93047, 39.40311, 0.0], [1610612737, 201143, 86.32348, 39.17441, 0.0], [1610612737, 201952, 71.17292, 8.14141, 0.0], [1610612737, 203145, 80.80474, 27.4847, 0.0], [1610612737, 203488, 89.77078, 5.25, 0.0], [1610612765, 2581, 81.15821, 22.08455, 0.0], [1610612765, 101141, 87.26843, 19.66147, 0.0], [1610612765, 203382, 84.36515, 27.68797, 0.0], [1610612765, 201975, 89.10383, 35.7607, 0.0], [1610612765, 1626169, 79.09272, 32.38217, 0.0]]]"
2,152,506,"[2, 1445993100266, 509.73, 23.58, None, [[-1, -1, 88.82404, 22.30521, 4.53506], [1610612737, 2594, 78.33855, 46.18705, 0.0], [1610612737, 201143, 79.77843, 38.05823, 0.0], [1610612737, 201952, 64.16349, 14.2874, 0.0], [1610612737, 203145, 95.24306, 8.55224, 0.0], [1610612737, 203488, 82.32102, 3.9635800000000003, 0.0], [1610612765, 2581, 76.979, 25.73335, 0.0], [1610612765, 101141, 81.77824, 19.12315, 0.0], [1610612765, 203382, 87.59228, 21.94669, 0.0], [1610612765, 201975, 83.91133, 39.20561, 0.0], [1610612765, 1626169, 88.05448, 26.27444, 0.0]]]"
