CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,GAME_TIME_LEFT,SHOT_TIME_LEFT,TEAM1_ID,TEAM2_ID,BALL_X,BALL_Y,PLAYER1_ID,PLAYER1_X,PLAYER1_Y,PLAYER2_ID,PLAYER2_X,PLAYER2_Y,PLAYER3_ID,PLAYER3_X,PLAYER3_Y,PLAYER4_ID,PLAYER4_X,PLAYER4_Y,PLAYER5_ID,PLAYER5_X,PLAYER5_Y,PLAYER6_ID,PLAYER6_X,PLAYER6_Y,PLAYER7_ID,PLAYER7_X,PLAYER7_Y,PLAYER8_ID,PLAYER8_X,PLAYER8_Y,PLAYER9_ID,PLAYER9_X,PLAYER9_Y,PLAYER10_ID,PLAYER10_X,PLAYER10_Y
2,152,398,514.02,10.0,1610612737,1610612765,34.78596,8.1176,2594,88.23292000000001,46.77363,201143,75.25991,34.88703,201952,76.96227,7.86614,203145,74.17345,45.19899,203488,85.90442,20.67999,2581,83.26673,18.31886,101141,85.26775,25.50729,203382,76.75962,33.54888,201975,86.89,44.79978,1626169,75.1143,37.43158
2,152,402,513.86,9.85,1610612737,1610612765,36.67527,8.53641,2594,88.19311,46.78509,201143,76.31972,35.10006,201952,76.76339,7.63011,203145,74.35855,45.5446,203488,85.5103,20.39641,2581,83.36553,18.64741,101141,85.65948,25.10329,203382,78.06566,33.65247,201975,87.09391,44.84568,1626169,74.46213,37.80497
2,152,408,513.63,9.63,1610612737,1610612765,42.17288,7.28967,2594,88.26213,46.7245,201143,77.9984,35.42972,201952,76.38792,7.31794,203145,74.79809,45.977850000000004,203488,85.576,19.94116,2581,83.25874,18.77879,101141,86.01541,24.38747,203382,79.84978,33.83224,201975,87.28555,44.95881,1626169,74.08457,38.67801
2,152,443,512.24,8.32,1610612737,1610612765,34.13292,2.33495,2594,92.66009,36.99309,201143,83.91925,37.48822,201952,73.0093,7.63202,203145,74.18417,35.75934,203488,89.80499,10.8622,2581,81.38453,18.28273,101141,86.88978,20.35056,203382,83.39852,32.11268,201975,88.76713,36.15646,1626169,76.38907,38.78618
2,152,459,511.6,7.72,1610612737,1610612765,26.362940000000002,4.75964,2594,92.93047,39.40311,201143,86.32348,39.17441,201952,71.17292,8.14141,203145,80.80474,27.4847,203488,89.77078,5.25,2581,81.15821,22.08455,101141,87.26843,19.66147,203382,84.36515,27.68797,201975,89.10383,35.7607,1626169,79.09272,32.38217
2,152,506,509.73,23.58,1610612737,1610612765,22.30521,4.53506,2594,78.33855,46.18705,201143,79.77843,38.05823,201952,64.16349,14.2874,203145,95.24306,8.55224,203488,82.32102,3.9635800000000003,2581,76.979,25.73335,101141,81.77824,19.12315,203382,87.59228,21.94669,201975,83.91133,39.20561,1626169,88.05448,26.27444
2,152,551,507.95,21.9,1610612737,1610612765,21.69547,1.4253200000000001,2594,45.90226,35.59709,201143,55.79485,31.51719,201952,39.56719,19.43505,203145,80.66699,0.48677000000000004,203488,51.48691,11.96569,2581,56.69448,22.82182,101141,50.17791,16.19662,203382,76.24918,24.60864,201975,57.34105,46.51777,1626169,73.51693,35.00707
2,152,556,507.75,21.71,1610612737,1610612765,21.40624,3.33846,2594,42.2062,34.3319,201143,52.66533,30.87147,201952,36.22836,19.89876,203145,77.4771,1.18428,203488,47.264,12.75195,2581,53.21768,22.75992,101141,45.89979,16.10489,203382,73.38747,24.69297,201975,53.53657,46.57026,1626169,70.0607,35.41301
3,260,1,609.09,8.81,1610612737,1610612765,22.98927,12.70694,2594,78.25845,15.87319,200794,63.39786,10.13868,201143,78.95148,28.4709,201952,87.21311,17.84067,203145,86.12647,30.62222,101141,66.74923,8.20988,202704,80.33827,15.81456,202694,79.20361,45.93893,203484,61.34042,4.93859,203083,73.41839,30.55181
3,260,29,607.97,23.55,1610612737,1610612765,27.35866,2.20613,2594,73.90303,26.67906,200794,52.58364,10.48461,201143,79.48549,28.16049,201952,86.17907,18.06653,203145,90.04548,27.34496,101141,56.86224,8.02209,202704,73.59179,19.14535,202694,70.13785,43.29258,203484,47.48415,9.42329,203083,71.38983,29.8515
